iter	Passed	Remaining
533	29168	25454
534	29227	25403
535	29268	25336
536	29319	25279
537	29375	25225
538	29420	25162
539	29471	25105
540	29529	25053
541	29591	25005
542	29663	24965
543	29722	24914
544	29773	24857
545	29836	24809
546	29878	24743
547	29960	24711
548	29998	24643
549	30037	24576
550	30090	24520
551	30133	24455
552	30218	24426
553	30257	24358
554	30299	24294
555	30358	24243
556	30440	24210
557	30508	24166
558	30551	24101
559	30599	24042
560	30633	23971
561	30782	23990
562	30883	23971
563	30951	23927
564	31054	23908
565	31111	23855
566	31140	23781
567	31207	23735
568	31303	23711
569	31370	23665
570	31396	23588
571	31420	23510
572	31464	23447
573	31521	23393
574	31611	23365
575	31652	23299
576	31675	23221
577	31699	23144
578	31731	23072
579	31756	22995
580	31780	22919
581	31804	22842
582	31827	22765
583	31851	22688
584	31901	22631
585	31925	22554
586	31948	22478
587	31973	22403
588	32018	22342
589	32096	22304
590	32121	22229
591	32156	22161
592	32183	22089
593	32216	22019
594	32239	21944
595	32263	21870
596	32295	21800
597	32319	21726
598	32347	21654
599	32370	21580
600	32399	21510
601	32438	21446
602	32462	21372
603	32487	21299
604	32511	21226
605	32541	21157
606	32565	21084
607	32589	21011
608	32622	20944
609	32646	20872
610	32671	20800
611	32710	20737
612	32741	20670
613	32764	20598
614	32789	20526
615	32813	20454
616	32837	20383
617	32860	20311
618	32891	20244
619	32915	20173
620	32939	20103
621	32988	20047
622	33039	19993
623	33081	19933
624	33147	19888
625	33209	19840
626	33259	19785
627	33291	19720
628	33336	19662
629	33370	19598
630	33409	19537
631	33433	19467
632	33458	19398
633	33499	19338
634	33549	19284
635	33576	19216
636	33607	19151
637	33640	19087
638	33666	19019
639	33710	18962
640	33745	18899
641	33777	18835
642	33810	18771
643	33882	18730
644	33907	18662
645	33931	18593
646	33956	18526
647	33983	18460
648	34008	18392
649	34038	18328
650	34063	18261
651	34086	18193
652	34109	18125
653	34154	18069
654	34176	18001
655	34199	17934
656	34229	17870
657	34258	17806
658	34284	17740
659	34307	17673
660	34338	17611
661	34372	17549
662	34396	17483
663	34447	17431
664	34470	17364
665	34494	17298
666	34526	17237
667	34550	17171
668	34574	17106
669	34605	17044
670	34628	16978
671	34652	16913
672	34677	16849
673	34725	16796
674	34749	16731
675	34772	16665
676	34802	16604
677	34825	16539
678	34849	16475
679	34882	16415
680	34906	16351
681	34929	16286
682	34954	16223
